date,ABT,AMD,ANET,AVGO,BMY,CAT,CEG,CLS,CMCSA,COST,CRDO,CVX,EEM,EFA,ELV,EWG,EWJ,GE,GEV,GOOGL,IWM,JNJ,KHC,KO,KRE,LIN,LITE,LLY,LRCX,MCD,MDY,META,MRK,MSFT,MU,NKE,NVDA,PEP,PFE,PG,PLTR,PYPL,SPY,TGT,TSM,UBER,UNH,VRT,WMT,XLF,XLI,XLV
2026-01-02,122.7937240600586,223.47000122070312,133.60000610351562,346.3441467285156,52.323753356933594,595.8787231445312,365.1924743652344,302.3999938964844,26.686174392700195,852.0977783203125,143.22000122070312,152.9884490966797,55.94919204711914,95.52831268310547,350.65283203125,41.72308349609375,80.8905029296875,319.88470458984375,678.2930908203125,314.7403259277344,247.7490692138672,205.0741424560547,23.560346603393555,68.20761108398438,64.48616790771484,426.3253173828125,386.1099853515625,1076.706298828125,184.70843505859375,299.5437927246094,608.2941284179688,649.2518920898438,104.91289520263672,470.84320068359375,315.23907470703125,62.30523681640625,188.6199493408203,139.50282287597656,24.363004684448242,139.73814392089844,167.86000061035156,57.774051666259766,679.55859375,98.56681060791016,317.96728515625,82.86000061035156,331.9092102050781,175.5316925048828,112.3147201538086,54.458316802978516,157.15069580078125,154.1932830810547
2026-01-05,125.02830505371094,221.0800018310547,137.19000244140625,342.15960693359375,51.93225860595703,613.493896484375,353.9151306152344,293.239990234375,27.115022659301758,873.278076171875,140.24000549316406,160.7899932861328,56.565982818603516,96.62102508544922,359.8188171386719,42.20344543457031,82.68077087402344,323.4450988769531,680.10107421875,316.1285400390625,251.68270874023438,202.0675048828125,22.961437225341797,67.04318237304688,65.79090881347656,430.2894592285156,357.04998779296875,1037.9876708984375,194.38999938964844,296.1854553222656,616.3043823242188,657.616943359375,105.88860321044922,470.7536315917969,311.970947265625,63.53597640991211,187.89083862304688,137.23712158203125,24.353328704833984,138.33868408203125,174.0399932861328,58.91681671142578,684.0845947265625,100.12606048583984,320.5937194824219,80.73999786376953,337.4541931152344,173.8724365234375,112.2649154663086,55.648014068603516,159.01087951660156,153.72726440429688
2026-01-06,126.34335327148438,214.35000610351562,132.5800018310547,342.50830078125,53.26334762573242,620.454345703125,353.55615234375,305.0,26.430639266967773,886.6004638671875,132.9499969482422,153.6165008544922,56.98381042480469,96.76869201660156,367.5989990234375,42.28187561035156,82.62109375,326.6563720703125,685.56494140625,313.9313659667969,255.01881408691406,202.542236328125,22.710283279418945,66.94449615478516,66.45317077636719,434.3230895996094,397.4200134277344,1060.441650390625,206.56683349609375,299.0597839355469,625.1704711914062,659.4437255859375,107.29795837402344,476.3885192871094,343.23297119140625,64.34335327148438,187.0119171142578,136.2955322265625,24.60489273071289,137.88536071777344,179.7100067138672,59.43354415893555,688.1529541015625,102.28353118896484,325.7471008300781,85.54000091552734,344.3114013671875,174.87197875976562,113.88847351074219,55.91569900512695,161.16949462890625,156.75143432617188
2026-01-07,125.61167907714844,210.02000427246094,130.0800018310547,342.2392883300781,55.514469146728516,593.9967651367188,337.6522216796875,305.8699951171875,26.893321990966797,880.098876953125,141.0,152.30152893066406,56.556034088134766,96.40444946289062,362.96649169921875,42.40931701660156,82.4719009399414,322.76690673828125,661.5817260742188,321.5614318847656,254.4213104248047,205.2126007080078,22.2272891998291,66.64846801757812,65.97871398925781,431.32269287109375,392.8800048828125,1104.3426513671875,202.69419860839844,300.4327697753906,620.65283203125,647.5349731445312,107.03184509277344,481.3265075683594,339.355224609375,62.24616241455078,188.87962341308594,134.38291931152344,24.459758758544922,136.04241943359375,181.67999267578125,58.1417236328125,685.9347534179688,101.66571044921875,317.04205322265625,86.19000244140625,337.13848876953125,171.4635009765625,112.2748794555664,55.13248062133789,158.13551330566406,158.3081512451172
2026-01-08,124.76134490966797,204.67999267578125,123.72000122070312,331.2597351074219,54.71189880371094,605.5576171875,321.6086730957031,288.6000061035156,27.192134857177734,912.73681640625,141.58999633789062,156.27587890625,56.575931549072266,96.41429901123047,370.9644470214844,42.458335876464844,82.4122314453125,313.59173583984375,627.6995239257812,325.0169372558594,257.1997375488281,203.49169921875,22.63300323486328,68.45431518554688,67.29335021972656,436.836669921875,348.260009765625,1081.52001953125,200.57823181152344,305.0949401855469,622.9514770507812,644.9096069335938,109.38733673095703,475.9902648925781,326.8323974609375,64.25474548339844,184.8145751953125,136.69766235351562,24.46943473815918,139.48190307617188,176.86000061035156,57.903236389160156,685.8651123046875,104.27428436279297,316.37554931640625,87.58999633789062,342.2197265625,160.7082977294922,112.62348937988281,55.41999053955078,159.32920837402344,156.7811737060547
2026-01-09,124.50426483154297,203.1699981689453,122.88999938964844,343.70391845703125,54.67274856567383,615.0075073242188,341.5309753417969,302.29998779296875,27.346363067626953,922.2799682617188,150.4199981689453,159.08248901367188,56.84453582763672,97.27073669433594,369.04412841796875,42.55636978149414,84.15277099609375,320.7224426269531,621.8060913085938,328.14288330078125,259.1516418457031,202.14663696289062,22.62334442138672,69.57926177978516,66.70027923583984,441.19818115234375,351.4200134277344,1059.96337890625,217.94515991210938,303.5540466308594,628.26513671875,651.8970947265625,108.9339828491211,477.15509033203125,344.8920593261719,64.9045639038086,184.63479614257812,137.22732543945312,24.653270721435547,139.81698608398438,177.49000549316406,57.29707717895508,690.4010009765625,103.47993469238281,321.9666442871094,85.44000244140625,339.3880615234375,163.50706481933594,114.07772827148438,55.25144958496094,161.0799560546875,155.97805786132812
2026-01-12,123.23866271972656,207.69000244140625,123.41999816894531,350.9173278808594,54.58465576171875,627.1060791015625,334.89019775390625,314.70001220703125,28.011465072631836,940.4287719726562,156.07000732421875,159.30816650390625,57.64039611816406,97.86139678955078,371.1624450683594,42.968109130859375,84.8291015625,323.2955017089844,639.0568237304688,331.4285583496094,260.4163513183594,207.4181365966797,22.594362258911133,69.56939697265625,65.9095230102539,440.7510986328125,339.8699951171875,1077.3441162109375,219.9812774658203,302.9909973144531,629.2005004882812,640.826904296875,107.61333465576172,475.06439208984375,345.6716003417969,64.6288833618164,184.71470642089844,138.64952087402344,24.450084686279297,141.38400268554688,179.41000366210938,56.929405212402344,691.4852294921875,104.08795166015625,330.0647888183594,84.66999816894531,335.96435546875,169.9541778564453,117.50414276123047,54.81522750854492,162.31344604492188,156.04745483398438
2026-01-13,122.90248107910156,220.97000122070312,129.92999267578125,353.3085021972656,54.731468200683594,633.8375244140625,332.5669250488281,328.55999755859375,27.452394485473633,939.281982421875,161.3800048828125,160.80960083007812,57.21261978149414,97.3002700805664,366.9159851074219,42.71322250366211,83.99363708496094,326.34722900390625,651.3630981445312,335.53326416015625,260.2669982910156,211.30499267578125,22.710283279418945,70.29962921142578,65.47460174560547,440.0258483886719,361.3299865722656,1073.5469970703125,213.9727325439453,305.6480712890625,630.5537719726562,629.96630859375,106.69676208496094,468.5832824707031,337.93603515625,65.27872467041016,185.58364868164062,140.72886657714844,24.33397674560547,142.15269470214844,178.9600067138672,56.20399856567383,690.1026000976562,106.5298080444336,329.5076599121094,85.41000366210938,329.47216796875,172.64297485351562,119.88470458984375,53.76432800292969,163.14903259277344,155.4128875732422
2026-01-14,123.59461212158203,223.60000610351562,125.08999633789062,338.642578125,55.80809020996094,636.048095703125,329.426025390625,310.0400085449219,27.715702056884766,948.3065185546875,156.83999633789062,164.11668395996094,57.45138168334961,97.75311279296875,369.0540466308594,42.634796142578125,84.58045196533203,318.0197448730469,643.4619140625,335.4034118652344,262.099365234375,216.1511993408203,23.49272918701172,70.49698638916016,66.2060546875,437.12481689453125,331.6199951171875,1069.660400390625,208.39332580566406,304.3540954589844,631.1806640625,614.4240112304688,109.40705871582031,457.34332275390625,333.1587829589844,64.55996704101562,182.91690063476562,143.1220703125,24.750024795532227,144.23216247558594,178.39999389648438,57.29707717895508,686.7105712890625,107.69680786132812,325.4287414550781,84.6500015258789,330.4884338378906,170.7838134765625,119.56597137451172,53.68501663208008,163.40768432617188,156.5233917236328
2026-01-15,122.75984954833984,227.9199981689453,130.58999633789062,341.76104736328125,55.41659164428711,644.4423828125,340.21478271484375,313.5299987792969,27.647438049316406,954.060302734375,149.1199951171875,163.0568389892578,57.78962326049805,97.71372985839844,378.0517578125,42.389713287353516,84.9583969116211,319.0768737792969,641.5140991210938,332.3473815917969,264.4097595214844,217.16001892089844,23.415449142456055,69.5496597290039,67.45149230957031,437.1844177246094,343.2699890136719,1029.4765625,217.05686950683594,304.8381042480469,638.6138305664062,619.694580078125,109.36763000488281,454.6353759765625,336.4368896484375,63.595054626464844,186.82212829589844,143.75962829589844,25.04996681213379,142.5370635986328,177.07000732421875,56.38286590576172,688.5806884765625,108.98147583007812,339.88409423828125,84.37999725341797,334.43505859375,172.4630584716797,118.72927856445312,53.90312576293945,164.9097442626953,155.6310272216797
