date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,ANET,AVGO,AXP,BAC,BKNG,BLK,BMY,BRK-B,BSX,BX,CAT,CB,CDNS,CEG,CL,CLS,CMCSA,CME,COP,COST,CRDO,CRM,CSCO,CVX,DE,DHR,DUK,EEM,EFA,ELV,EQIX,ETN,EWG,EWJ,GE,GEV,GILD,GOOGL,GS,HD,HON,IBM,ICE,INTC,INTU,ISRG,IWM,JNJ,JPM,KHC,KLAC,KO,KRE,LIN,LITE,LLY,LMT,LOW,LRCX,MA,MCD,MDT,MDY,META,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PLD,PLTR,PM,PYPL,QCOM,RTX,SBUX,SHW,SO,SPGI,SPY,SYK,T,TGT,TJX,TMO,TSLA,TSM,TXN,UBER,UNH,UNP,V,VRT,VRTX,VZ,WFC,WMT,XLF,XLI,XLV,XOM
2026-01-02,271.010009765625,229.30999755859375,124.19000244140625,259.95001220703125,333.29998779296875,273.739990234375,252.8800048828125,268.8699951171875,223.47000122070312,327.6400146484375,226.5,133.60000610351562,347.6199951171875,372.7300109863281,55.95000076293945,212.92799377441406,1085.06005859375,53.459999084472656,496.8500061035156,94.70999908447266,158.8000030517578,598.4099731445312,310.05999755859375,310.3999938964844,366.25,77.69000244140625,302.3999938964844,27.68509864807129,269.67999267578125,96.69999694824219,854.5,143.22000122070312,253.6199951171875,76.04000091552734,155.89999389648438,466.79998779296875,230.39999389648438,117.44000244140625,56.2400016784668,97.04000091552734,354.25,764.1099853515625,327.30999755859375,42.560001373291016,81.33000183105469,320.75,679.5499877929688,121.5999984741211,315.1499938964844,914.3400268554688,345.82000732421875,205.4326171875,291.5,159.99000549316406,39.380001068115234,629.4600219726562,561.97998046875,248.77999877929688,207.35000610351562,325.4800109863281,24.389999389648438,127.4469985961914,69.12000274658203,65.23999786376953,429.1099853515625,386.1099853515625,1080.3599853515625,497.07000732421875,246.88999938964844,185.05999755859375,563.1300048828125,303.260009765625,96.05000305175781,611.3099975585938,650.4099731445312,57.310001373291016,106.44999694824219,181.89999389648438,472.94000244140625,315.4200134277344,80.93000030517578,90.98999786376953,63.279998779296875,147.4499969482422,188.85000610351562,195.7100067138672,179.3699951171875,142.22999572753906,25.18000030517578,141.7899932861328,129.0500030517578,167.86000061035156,160.3000030517578,58.13999938964844,172.97999572753906,187.25,83.97000122070312,327.8399963378906,87.18000030517578,485.0141906738281,683.1699829101562,348.17999267578125,24.559999465942383,100.51000213623047,154.27999877929688,592.510009765625,438.07000732421875,319.6099853515625,177.52000427246094,82.86000061035156,336.3999938964844,231.91000366210938,346.4800109863281,175.61000061035156,452.1300048828125,40.52000045776367,95.19999694824219,112.76000213623047,54.93000030517578,157.97999572753906,155.50999450683594,122.6500015258789
2026-01-05,267.260009765625,220.17999267578125,126.44999694824219,263.9800109863281,331.55999755859375,277.2900085449219,257.32000732421875,284.32000732421875,221.0800018310547,320.7200012207031,233.05999755859375,137.19000244140625,343.4200134277344,379.79998779296875,56.88999938964844,214.69479370117188,1119.760009765625,53.060001373291016,498.5199890136719,95.4800033569336,162.35000610351562,616.0999755859375,315.19000244140625,301.2200012207031,354.94000244140625,76.93000030517578,293.239990234375,28.1299991607666,275.05999755859375,99.19999694824219,875.739990234375,140.24000549316406,256.260009765625,75.58000183105469,163.85000610351562,466.1000061035156,235.36000061035156,116.80999755859375,56.86000061035156,98.1500015258789,363.510009765625,772.02001953125,322.260009765625,43.04999923706055,83.12999725341797,324.32000732421875,680.8599853515625,118.30000305175781,316.5400085449219,948.4400024414062,344.0899963378906,210.89669799804688,294.9700012207031,165.6199951171875,39.369998931884766,633.8400268554688,566.3800048828125,252.72999572753906,204.30999755859375,334.0400085449219,23.770000457763672,135.2449951171875,67.94000244140625,66.55999755859375,433.1000061035156,357.04998779296875,1041.510009765625,511.57000732421875,244.75,194.75999450683594,568.5700073242188,299.8599853515625,97.36000061035156,619.3599853515625,658.7899780273438,56.29999923706055,107.44000244140625,186.5399932861328,472.8500061035156,312.1499938964844,81.31999969482422,91.45999908447266,64.52999877929688,147.60000610351562,188.1199951171875,192.58999633789062,182.1199951171875,139.9199981689453,25.170000076293945,140.3699951171875,129.69000244140625,174.0399932861328,159.86000061035156,59.290000915527344,176.30999755859375,188.25999450683594,86.55999755859375,332.20001220703125,86.87000274658203,504.1627197265625,687.719970703125,348.7900085449219,24.709999084472656,102.0999984741211,153.83999633789062,611.2000122070312,451.6700134277344,322.25,177.1699981689453,80.73999786376953,342.0199890136719,231.97000122070312,353.79998779296875,173.9499969482422,448.79998779296875,40.22999954223633,96.37999725341797,112.70999908447266,56.130001068115234,159.85000610351562,155.0399932861328,125.36000061035156
2026-01-06,262.3599853515625,223.92999267578125,127.77999877929688,275.92999267578125,335.989990234375,292.94000244140625,261.1199951171875,296.010009765625,214.35000610351562,330.1700134277344,240.92999267578125,132.5800018310547,343.7699890136719,383.55999755859375,57.25,213.9355926513672,1112.280029296875,54.41999816894531,499.04998779296875,97.79000091552734,162.64999389648438,623.0900268554688,309.2900085449219,314.6400146484375,354.5799865722656,77.19999694824219,305.0,27.420000076293945,269.1499938964844,97.11000061035156,889.0999755859375,132.9499969482422,262.8999938964844,75.2300033569336,156.5399932861328,485.9800109863281,236.58999633789062,117.73999786376953,57.279998779296875,98.30000305175781,371.3699951171875,788.0599975585938,332.9700012207031,43.130001068115234,83.06999969482422,327.5400085449219,686.3300170898438,121.36000061035156,314.3399963378906,955.469970703125,349.2900085449219,214.9344482421875,302.4700012207031,166.00999450683594,40.040000915527344,647.2000122070312,592.8499755859375,256.0799865722656,204.7899932861328,334.6099853515625,23.510000228881836,139.5,67.83999633789062,67.2300033569336,437.1600036621094,397.4200134277344,1064.0400390625,522.0399780273438,246.49000549316406,206.9600067138672,580.3400268554688,302.7699890136719,100.30999755859375,628.27001953125,660.6199951171875,55.15999984741211,108.87000274658203,187.75,478.510009765625,343.42999267578125,81.05000305175781,90.6500015258789,65.3499984741211,148.80999755859375,187.24000549316406,193.75,185.86000061035156,138.9600067138672,25.43000030517578,139.91000366210938,127.45999908447266,179.7100067138672,155.16000366210938,59.810001373291016,182.4499969482422,190.39999389648438,89.45999908447266,340.0899963378906,87.5199966430664,510.5487365722656,691.8099975585938,366.3900146484375,24.34000015258789,104.30000305175781,153.9199981689453,620.719970703125,432.9599914550781,327.42999267578125,192.10000610351562,85.54000091552734,348.9700012207031,233.6199951171875,357.55999755859375,174.9499969482422,468.3800048828125,40.29999923706055,96.38999938964844,114.33999633789062,56.400001525878906,162.02000427246094,158.08999633789062,121.05000305175781
2026-01-07,260.3299865722656,233.4199981689453,127.04000091552734,273.9800109863281,338.1000061035156,292.8900146484375,261.260009765625,292.20001220703125,210.02000427246094,341.6400146484375,241.55999755859375,130.0800018310547,343.5,378.2200012207031,55.63999938964844,217.82879638671875,1075.0899658203125,56.720001220703125,496.1199951171875,98.6500015258789,153.58999633789062,596.52001953125,306.6300048828125,320.5400085449219,338.6300048828125,77.08999633789062,305.8699951171875,27.899999618530273,266.8500061035156,93.94000244140625,882.5800170898438,141.0,266.1199951171875,74.72000122070312,155.1999969482422,475.20001220703125,235.57000732421875,116.19000244140625,56.849998474121094,97.93000030517578,366.69000244140625,776.5499877929688,322.6700134277344,43.2599983215332,82.91999816894531,323.6400146484375,662.3200073242188,124.3499984741211,321.9800109863281,941.02001953125,349.05999755859375,209.23963928222656,296.7300109863281,161.9199981689453,42.630001068115234,651.1500244140625,592.27001953125,255.47999572753906,207.49000549316406,326.989990234375,23.010000228881836,135.968994140625,67.54000091552734,66.75,434.1400146484375,392.8800048828125,1108.0899658203125,496.8699951171875,247.1199951171875,203.0800018310547,579.9199829101562,304.1600036621094,99.7699966430664,623.72998046875,648.6900024414062,54.720001220703125,108.5999984741211,184.7899932861328,483.4700012207031,339.54998779296875,78.37000274658203,90.7300033569336,63.220001220703125,150.89999389648438,189.11000061035156,192.83999633789062,193.89999389648438,137.00999450683594,25.280000686645508,138.0399932861328,126.9000015258789,181.67999267578125,155.14999389648438,58.5099983215332,180.19000244140625,185.72999572753906,86.69000244140625,331.4100036621094,86.2699966430664,508.5146789550781,689.5800170898438,367.75,23.969999313354492,103.66999816894531,154.0399932861328,617.1500244140625,431.4100036621094,318.67999267578125,185.7100067138672,86.19000244140625,341.70001220703125,224.47999572753906,355.8800048828125,171.5399932861328,484.1499938964844,40.130001068115234,94.29000091552734,112.72000122070312,55.61000061035156,158.97000122070312,159.66000366210938,118.48999786376953
2026-01-08,259.0400085449219,224.1300048828125,126.18000030517578,281.82000732421875,339.0400085449219,299.1600036621094,265.6700134277344,281.6400146484375,204.67999267578125,330.1099853515625,246.2899932861328,123.72000122070312,332.4800109863281,382.9800109863281,56.18000030517578,217.8000030517578,1087.9200439453125,55.900001525878906,499.7699890136719,98.37999725341797,155.3000030517578,608.1300048828125,313.0,318.79998779296875,322.5400085449219,80.87000274658203,288.6000061035156,28.209999084472656,266.6400146484375,98.72000122070312,915.3099975585938,141.58999633789062,260.5299987792969,73.95999908447266,159.25,500.79998779296875,235.0,117.31999969482422,56.869998931884766,97.94000244140625,374.7699890136719,781.8800048828125,320.5799865722656,43.310001373291016,82.86000061035156,314.44000244140625,628.4000244140625,120.66999816894531,325.44000244140625,934.8300170898438,359.55999755859375,215.24908447265625,302.7200012207031,161.97999572753906,41.11000061035156,652.75,585.0800170898438,258.2699890136719,205.75,329.7900085449219,23.43000030517578,132.4600067138672,69.37000274658203,68.08000183105469,439.69000244140625,348.260009765625,1085.18994140625,518.4400024414062,256.2099914550781,200.9600067138672,580.0700073242188,308.8800048828125,98.69000244140625,626.0399780273438,646.0599975585938,55.900001525878906,110.98999786376953,184.67999267578125,478.1099853515625,327.0199890136719,79.48999786376953,90.52999877929688,65.26000213623047,146.19000244140625,185.0399932861328,189.64999389648438,190.8000030517578,139.3699951171875,25.290000915527344,141.52999877929688,128.38999938964844,176.86000061035156,158.80999755859375,58.27000045776367,181.8699951171875,187.1699981689453,88.18000030517578,341.0299987792969,87.22000122070312,512.355712890625,689.510009765625,367.2099914550781,24.170000076293945,106.33000183105469,158.25,606.5,435.79998779296875,318.010009765625,188.4499969482422,87.58999633789062,346.8500061035156,229.85000610351562,352.2300109863281,160.77999877929688,469.67999267578125,40.56999969482422,95.5999984741211,113.06999969482422,55.900001525878906,160.1699981689453,158.1199951171875,122.91000366210938
2026-01-09,259.3699951171875,220.0800018310547,125.91999816894531,280.6700134277344,333.95001220703125,300.92999267578125,266.0199890136719,301.17999267578125,203.1699981689453,326.1000061035156,247.3800048828125,122.88999938964844,344.9700012207031,375.6099853515625,55.849998474121094,219.6844024658203,1085.0999755859375,55.86000061035156,499.1000061035156,97.63999938964844,157.6199951171875,617.6199951171875,306.80999755859375,327.30999755859375,342.5199890136719,81.4800033569336,302.29998779296875,28.3700008392334,262.45001220703125,97.51000213623047,924.8800048828125,150.4199981689453,259.94000244140625,73.87999725341797,162.11000061035156,488.0799865722656,238.3699951171875,116.80000305175781,57.13999938964844,98.80999755859375,372.8299865722656,800.3499755859375,324.510009765625,43.40999984741211,84.61000061035156,321.5899963378906,622.5,121.0999984741211,328.57000732421875,938.97998046875,374.6400146484375,217.49343872070312,304.2200012207031,165.97999572753906,45.54999923706055,646.9000244140625,586.239990234375,260.2300109863281,204.38999938964844,329.19000244140625,23.420000076293945,140.0,70.51000213623047,67.4800033569336,444.0799865722656,351.4200134277344,1063.56005859375,542.9199829101562,267.2099914550781,218.36000061035156,575.5399780273438,307.32000732421875,97.52999877929688,631.3800048828125,653.0599975585938,57.529998779296875,110.52999877929688,186.32000732421875,479.2799987792969,345.0899963378906,79.88999938964844,89.45999908447266,65.91999816894531,141.8000030517578,184.86000061035156,198.52000427246094,189.02000427246094,139.91000366210938,25.479999542236328,141.8699951171875,129.39999389648438,177.49000549316406,162.61000061035156,57.65999984741211,177.77999877929688,188.5,88.87999725341797,353.2799987792969,87.01000213623047,512.7152099609375,694.0700073242188,367.5400085449219,23.989999771118164,105.5199966430664,157.80999755859375,618.8599853515625,445.010009765625,323.6300048828125,190.30999755859375,85.44000244140625,343.9800109863281,228.44000244140625,349.7699890136719,163.5800018310547,463.8599853515625,40.459999084472656,95.94999694824219,114.52999877929688,55.72999954223633,161.92999267578125,157.30999755859375,124.61000061035156
2026-01-12,260.25,220.0399932861328,124.63999938964844,280.9599914550781,327.6499938964844,293.8599853515625,262.79998779296875,307.239990234375,207.69000244140625,325.5400085449219,246.47000122070312,123.41999816894531,352.2099914550781,359.5899963378906,55.189998626708984,215.66079711914062,1089.260009765625,55.77000045776367,498.6700134277344,95.72000122070312,156.5800018310547,629.77001953125,306.6199951171875,325.510009765625,335.8599853515625,81.93000030517578,314.70001220703125,29.059999465942383,264.9800109863281,95.5,943.0800170898438,156.07000732421875,259.3999938964844,74.01000213623047,162.33999633789062,490.739990234375,239.0,116.70999908447266,57.939998626708984,99.41000366210938,374.9700012207031,783.8599853515625,329.1000061035156,43.83000183105469,85.29000091552734,324.1700134277344,639.77001953125,122.5999984741211,331.8599853515625,949.5499877929688,374.94000244140625,218.77294921875,312.17999267578125,166.25,44.060001373291016,635.4400024414062,572.75,261.5,209.72000122070312,324.489990234375,23.389999389648438,142.81700134277344,70.5,66.68000030517578,443.6300048828125,339.8699951171875,1081.0,551.239990234375,270.8900146484375,220.39999389648438,566.280029296875,306.75,96.94999694824219,632.3200073242188,641.969970703125,58.540000915527344,109.19000244140625,186.57000732421875,477.17999267578125,345.8699951171875,81.12000274658203,89.41000366210938,65.63999938964844,142.63999938964844,184.94000244140625,204.67999267578125,188.8800048828125,141.36000061035156,25.270000457763672,143.4600067138672,129.05999755859375,179.41000366210938,165.16000366210938,57.290000915527344,169.27000427246094,193.85000610351562,89.95999908447266,357.6300048828125,86.73999786376953,515.1182861328125,695.1599731445312,361.3699951171875,23.739999771118164,106.13999938964844,157.10000610351562,615.4500122070312,448.9599914550781,331.7699890136719,189.07000732421875,84.66999816894531,340.510009765625,229.5,343.20001220703125,170.02999877929688,460.5899963378906,39.84000015258789,94.95999908447266,117.97000122070312,55.290000915527344,163.1699981689453,157.3800048828125,124.02999877929688
2026-01-13,261.04998779296875,220.75,124.30000305175781,276.79998779296875,309.92999267578125,296.2099914550781,257.07000732421875,304.8699951171875,220.97000122070312,324.29998779296875,242.60000610351562,129.92999267578125,354.6099853515625,358.0,54.540000915527344,212.58839416503906,1089.5400390625,55.91999816894531,495.239990234375,94.13999938964844,155.25,636.530029296875,300.69000244140625,323.05999755859375,333.5299987792969,82.95999908447266,328.55999755859375,28.479999542236328,268.45001220703125,96.45999908447266,941.9299926757812,161.3800048828125,241.05999755859375,75.47000122070312,163.8699951171875,499.5199890136719,235.55999755859375,117.38999938964844,57.5099983215332,98.83999633789062,370.67999267578125,801.3099975585938,332.3800048828125,43.56999969482422,84.44999694824219,327.2300109863281,652.0900268554688,121.76000213623047,335.9700012207031,938.1500244140625,379.739990234375,220.5348663330078,303.1600036621094,166.69000244140625,47.290000915527344,605.280029296875,561.8200073242188,261.3500061035156,213.64999389648438,310.8999938964844,23.510000228881836,144.1820068359375,71.23999786376953,66.23999786376953,442.8999938964844,361.3299865722656,1077.18994140625,558.2999877929688,274.25,214.3800048828125,544.989990234375,309.44000244140625,96.41999816894531,633.6799926757812,631.0900268554688,60.150001525878906,108.26000213623047,182.75999450683594,470.6700134277344,338.1300048828125,81.63999938964844,90.31999969482422,66.30000305175781,138.19000244140625,185.80999755859375,202.2899932861328,190.85000610351562,143.47999572753906,25.149999618530273,144.24000549316406,130.22000122070312,178.9600067138672,165.85000610351562,56.560001373291016,165.2899932861328,194.0800018310547,90.55999755859375,355.989990234375,87.55000305175781,512.92333984375,693.77001953125,355.82000732421875,23.299999237060547,108.62999725341797,158.13999938964844,607.0800170898438,447.20001220703125,331.2099914550781,188.52999877929688,85.41000366210938,333.92999267578125,229.2899932861328,327.8800048828125,172.72000122070312,454.6700134277344,39.0099983215332,93.55999755859375,120.36000061035156,54.22999954223633,164.00999450683594,156.74000549316406,126.54000091552734
2026-01-14,259.9599914550781,221.88999938964844,125.0,288.5400085449219,304.44000244140625,297.989990234375,258.5,301.8900146484375,223.60000610351562,328.9700012207031,236.64999389648438,125.08999633789062,339.8900146484375,358.260009765625,52.47999954223633,207.48080444335938,1091.8499755859375,57.02000045776367,493.1499938964844,93.73999786376953,158.7100067138672,638.75,301.010009765625,313.1700134277344,330.3800048828125,84.55000305175781,310.0400085449219,28.420000076293945,275.2300109863281,100.33999633789062,950.97998046875,156.83999633789062,239.57000732421875,74.41000366210938,167.24000549316406,512.0999755859375,237.9499969482422,118.68000030517578,57.75,99.30000305175781,372.8399963378906,799.02001953125,331.1400146484375,43.4900016784668,85.04000091552734,318.8800048828125,644.1799926757812,124.06999969482422,335.8399963378906,932.6699829101562,375.95001220703125,223.42947387695312,309.0299987792969,172.94000244140625,48.720001220703125,566.5999755859375,546.760009765625,263.19000244140625,218.5500030517578,307.8699951171875,24.31999969482422,143.4499969482422,71.44000244140625,66.9800033569336,439.9800109863281,331.6199951171875,1073.2900390625,572.7000122070312,274.95001220703125,208.7899932861328,546.8200073242188,308.1300048828125,98.73999786376953,634.3099975585938,615.52001953125,61.470001220703125,111.01000213623047,180.77999877929688,459.3800048828125,333.3500061035156,81.9800033569336,88.55000305175781,65.56999969482422,134.61000061035156,183.13999938964844,193.61000061035156,190.92999267578125,145.9199981689453,25.579999923706055,146.35000610351562,132.2100067138672,178.39999389648438,171.0800018310547,57.65999984741211,164.5399932861328,198.83999633789062,91.1500015258789,354.3500061035156,88.41999816894531,515.6102294921875,690.3599853515625,359.3900146484375,23.610000610351562,109.81999969482422,155.1300048828125,621.8300170898438,439.20001220703125,327.1099853515625,193.4499969482422,84.6500015258789,334.9599914550781,227.13999938964844,329.1700134277344,170.86000061035156,449.5299987792969,39.83000183105469,89.25,120.04000091552734,54.150001525878906,164.27000427246094,157.86000061035156,130.1999969482422
2026-01-15,258.2099914550781,216.75,123.52999877929688,287.7699890136719,304.0899963378906,302.1000061035156,260.20001220703125,319.0799865722656,227.9199981689453,330.0299987792969,238.17999267578125,130.58999633789062,343.0199890136719,357.3699951171875,52.59000015258789,207.72239685058594,1156.6500244140625,56.619998931884766,492.6199951171875,90.02999877929688,160.80999755859375,647.1799926757812,301.1099853515625,320.6000061035156,341.20001220703125,84.33999633789062,313.5299987792969,28.350000381469727,272.5899963378906,98.93000030517578,956.75,149.1199951171875,233.52999877929688,75.25,166.16000366210938,515.0399780273438,239.88999938964844,118.9000015258789,58.09000015258789,99.26000213623047,381.92999267578125,801.8200073242188,333.4599914550781,43.2400016784668,85.41999816894531,319.94000244140625,642.22998046875,121.26000213623047,332.7799987792969,975.8599853515625,379.1600036621094,225.5060272216797,297.95001220703125,173.27999877929688,48.31999969482422,554.5800170898438,541.3400268554688,265.510009765625,219.57000732421875,309.260009765625,24.239999771118164,154.49600219726562,70.4800033569336,68.23999786376953,440.0400085449219,343.2699890136719,1032.969970703125,577.8900146484375,277.010009765625,217.47000122070312,542.6500244140625,308.6199951171875,99.0,641.780029296875,620.7999877929688,61.58000183105469,110.97000122070312,191.22999572753906,456.6600036621094,336.6300048828125,82.19000244140625,88.05000305175781,64.58999633789062,131.1699981689453,187.0500030517578,189.85000610351562,187.72999572753906,146.57000732421875,25.889999389648438,144.6300048828125,132.75,177.07000732421875,172.55999755859375,56.7400016784668,161.38999938964844,199.8300018310547,93.27999877929688,356.1300048828125,88.77999877929688,516.0170288085938,692.239990234375,362.489990234375,23.729999542236328,111.12999725341797,156.16000366210938,624.6500244140625,438.57000732421875,341.6400146484375,189.1199951171875,84.37999725341797,338.9599914550781,230.50999450683594,327.75,172.5399932861328,438.9200134277344,39.36000061035156,88.95999908447266,119.19999694824219,54.369998931884766,165.77999877929688,156.9600067138672,129.1300048828125
